mealName,srcImg,kcal,carboHydrates,carboWithSugars,proteins,fats,saturatedFats,fiber,salt,LACTEO,VEGANO,CARNE,PESCADO,MARISCO,FRUTA,VEGETALES,LEGUMBRES,CEREALES,SEMILLAS,HUEVO,FRUTOS_SECOS,GLUTEN,ORIGEN_ANIMAL,DESAYUNO,MEDIO_DIA,ALMUERZO,MERIENDA,CENA,APERITIVOS,PRE_ENTRENO,APERITIVOS,GENERICO
mortadela vegana,img_152,162,9.8,0.5,7.1,10,1.3,3,0,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false
fuet,img_153,421,1.4,0.5,27.5,34,11,0,2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
longaniza de pascua,img_154,458,2.7,2.7,24,39,14,0,0,7,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false
salami,img_155,462,5.1,5.1,16,42,13,0,0,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,true,false,false,false,false
pepperoni ,img_156,431,1,1,21,38.1,15.09,0,2.2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
canna de lomo,img_157,210,1,1,38,6,2.3,0,4,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false
jamon serrano,img_158,234,0.5,0.5,37,9.7,3.4,0,14,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
jamon cebo iberico,img_159,304,0.14,0,32.2,19.1,6.85,0,6.85,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
jamon bellota iberico,img_160,347,0.7,0.5,32,24,9,0,4.9,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
cecina ahumada,img_161,172,0.8,0.8,29,8.9,2.3,0,4.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
paleta de cerdo,img_162,164,0.6,0.5,23.5,7.5,3.4,0,1,8,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
sobrasada untable,img_163,569,0.5,0.2,7.3,60,20,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
sobrasada,img_164,609,0.5,0.5,10,63,23,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
queso curado mezcla vaca cabra y oveja,img_165,426,0.5,0.5,25,36,26,0,1.96,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,true,false,false
queso viejo mezcla vaca cabra y oveja,img_166,417,1,0.1,23.50,34,24.1,0,1.6,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso semicurado mezcla vaca cabra y oveja,img_167,433,1.8,1.8,26.3,39.3,22.9,0,1.75,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso tierno mezcla vaca cabra y oveja,img_168,392,2,1.4,21.7,33,22.7,0,1.9,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso fundido para sandwich,img_169,231,8.9,5.4,12,16.1,11.2,0,2.1,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false
mozzarela,img_170,202,2,0.9,17,14,8.5,0.8,2.3,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso edam,img_171,321,0,0,25.4,24,17,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso cheddar,img_172,392,0,0,26,32,22,0,4.5,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso emmental,img_173,369,0,0,27,29,19,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso provolone,img_174,337,0.1,0.1,23,27,18,0,1.5,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso semicurado sin lactosa,img_175,410,1,0.5,25,34,24,0,1.6,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso gouda,img_176,356,2.22,2.22,24.94,27.44,17.65,0,2.05,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso raclette,img_177,348,0.5,0.5,24,28,17,0,1.75,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso mozzarela rallado,img_178,318,8,0.2,12.8,25.6,16.6,0,7.5,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false
queso grana padano ,img_179,398,0,0,33,29,18,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso grana padano rallado,img_180,398,0,0,33,29,18,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso rallado sin lactosa,img_181,357,0.1,0.1,24,29,18.9,0,1.8,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso gouda rallado,img_182,375,2.4,0.1,24.7,29.6,18.1,0,0,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false
quesitos en porciones,img_183,196,4,4,7.8,16.5,10.8,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
quesitos en porciones sin  lactosa,img_184,196,4,4,7.8,16.5,10.8,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso untable ,img_185,194,3.8,0,9,16,9.3,0,0.91,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso brie,img_186,360,0,0,18,32,17,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso fresco burgos,img_187,164,4.2,4.2,0,11.5,8.1,0,2.3,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
requeson 0%  materia grasa,img_188,72,5.2,4,12.2,0,0,0,1.2,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso fresco burgos 0% materia grasa,img_189,68,4.4,4.4,12.3,0.2,0.1,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso burrata,img_190,305,2.27,0.87,18.66,24.59,14.67,0,1.31,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso rulo de cabra,img_191,335,1.1,0.9,17,29.2,21.2,0,1.1,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso rulo de cabra sin lactosa,img_192,335,1.1,0.9,17,29.2,21.2,0,1.1,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
queso roquefort,img_193,335,2.3,0.5,21.4,28.74,18.69,0,3.5,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false
filete de panga,img_194,60,0,0,13,0.5,0,0,0.4,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
filete de merluza,img_195,132,0.41,0.9,21.38,4.38,0.82,0,1.02,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
rodaja de emperador,img_196,100,0.1,0.05,15.2,4.3,1.1,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
filetes de bacalao,img_197,62,0,0,12,1.5,0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
sepia,img_198,79,0.82,0,016.24,0.7,0.11,0,0.93,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
filete de salmon,img_199,146,0,0,21.62,5.93,1.26,0,0.12,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
calamar,img_200,92,3.08,0,15.58,1.38,0.35,0,0.11,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
angurinnas de surimi,img_201,188,7.5,0,8.8,13.6,1.3,0,4,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false
pulpo,img_202,82,2.2,0,14.91,1.04,0.22,0,0.58,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
migas de bacalao,img_203,60,0,0,14.1,0.4,0.3,0,1.6,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
mix frutos rojos ,img_204,58,10.9,5.3,0.8,0.8,0.1,3.9,0.02,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
atun en conserva de aceite de oliva,img_205,206,0.6,0,24,12,2,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
atun en conserva de aceite de girasol,img_206,163,0,0,26,6.8,0.9,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
atun claro en conserva,img_207,84,0,0,20,0.6,0.1,0,1.5,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
bonito del norte en aceite de oliva,img_208,227,0,0,26.3,13.5,2.3,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
caballa del sur en aceite de oliva,img_209,308,0.6,0.5,18,26,3.9,0,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
filetes de melva en aceite,img_210,179,1.4,0.5,25,8.7,1.4,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
sardinas en aceite de oliva,img_211,289,0.7,0.1,20,23,4.2,0,0.78,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
sardinillas en aceite de oliva,img_212,366,0.1,0,17.1,33,5.95,0,0.95,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
berberechos en conserva al natural,img_213,53,4.8,0.3,8.4,0,0,0,1.4,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
mejillones en conserva en escabeche,img_214,162,2,0,20,8.2,1.2,0,1.5,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
maiz dulce en conserva,img_215,82,14,6.7,2.5,1.4,0.4,0.2,0.5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
esparragos blancos en conserva,img_216,17,2.41,0,1.12,0.33,0,0.1,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
guisantes,img_217,117,20.97,8.22,7.6,0.58,0.1,7.4,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
esparragos verdes,img_218,15,1.6,0,1.3,0.1,0,0.3,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pinna en conserva en su jugo,img_219,56,13,2,11,0.4,0.1,0,0.5,0,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
melocoton en almibar,img_220,74,18,16,0.5,0,0,3.1,0,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false
gazpacho preparado tradicional,img_221,44,3.5,3,1,0.9,2.7,0.4,1.2,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
salmorejo preparado tradicional,img_222,10,6.16,1.3,1.06,4.79,0.68,0.6,0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
crema preparada de verduras,img_223,4,6,1.3,1.9,3.2,0.4,3.1,0.08,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
caldo preparado de pollo,img_224,5,1.3,0.5,0.5,0.5,0.1,0.3,1.75,false,false,true,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false
caldo preparado de veruras,img_225,5,0.5,0.2,0.5,0.6,0.2,0.5,1.75,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
caldo preparado de cocido,img_226,6,0.5,0.5,0.5,0.5,0.1,0.5,2,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
tomate triturado en conserva,img_227,22,3.6,2.8,1,0.2,0,0.7,0.7,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
tomate frito en conserva,img_228,79,9.92,4.48,1.82,3.52,0.5,5,2.4,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pisto de verduras en conserva,img_229,120,19.8,11.2,3.2,2.2,0.2,4.6,3,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
platano,img_230,94,20,2,1.2,0.1,0,0.15,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
uva,img_231,67,17.5,15.07,0.68,0.15,0,0.8,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
manzana,img_232,53,11.4,8.2,0.26,0.17,0,0.8,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,true,true
pera,img_233,53,12,9,0.5,0.1,0,0.85,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
sandia,img_234,30,8,6,0.6,0.2,0,0.4,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
melon,img_235,36,9,8.2,0.54,0.14,0,0.8,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
mandarina,img_236,43,9,9,0.8,0,0,1.9,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
naranja,img_237,42,8.6,8.6,0.8,0,0,2,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
kiwi verde,img_238,61,9.1,8.8,1.2,0.7,0,3,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
aguacate,img_239,160,2,0.7,2,15,2.1,7,0,false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,true,false
pinna,img_240,46,10.2,9.8,0.5,0.1,0,1.2,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
guacamole,img_241,203,10.6,1.9,1.8,17.1,3,10.7,1.5,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
mango,img_242,66,14,14,0.6,0.5,0,0,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
coco troceado,img_243,354,15.23,6.23,3.33,33.49,29.69,9,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true
chirimoya,img_244,231,55.22,22,5.15,1.93,0,7.2,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
melocoton,img_245,38,8,7.3,0.5,0,0,5,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
fresas,img_246,32,5.51,2,0.81,0.4,0,1.7,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
ciruela roja,img_247,50,12.67,11.35,0.64,0.19,0,1.2,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
ciruela amarilla,img_248,50,12.67,11.35,0.5,0.21,0,1,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
higos,img_249,298,59,57,3.6,2.9,0.5,9.8,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
lechuga iceberg,img_250,14,0.9,0.6,0.7,0.6,0.2,0.7,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
lechuga romana,img_251,24,4.2,2.7,1.6,0.1,0,0.9,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
canonigos,img_252,21,1.6,1.6,1.8,0.5,0.1,1.3,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
rucula,img_253,31,3.7,2.5,2.6,0.7,0.01,1.6,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
escarola rizada,img_254,79,3.78,0.72,1.4,0.27,0.05,3,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
espinaca,img_255,109,1.6,0.2,2.9,0.4,0,1.6,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
patata,img_256,104,19,0.82,1.66,2.4,0.45,1.7,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
batata,img_257,107,24.1,5.95,1.61,0.6,0.12,3,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
yuca,img_258,158,38,2,1,0.2,0,3,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
tomate,img_259,20,4,0,0,0,0,0.5,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
zanahoria,img_260,34,7,6.8,0.8,0.3,0.05,0.01,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pepino,img_261,14,2.9,1.52,0.62,0.14,0.02,0.6,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pimiento rojo,img_262,26,6,4,1,0.3,0.05,2,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
calabacin,img_263,16,3.35,1.75,1.21,0.18,0.037,1.1,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pimiento verde,img_264,20,4.64,2,0.86,0.17,0,1.7,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
berenjena,img_265,24,5.7,2.35,1.1,0.2,0,3.4,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
acelgas,img_266,19,3.74,1.1,1.8,0.2,0.03,1.6,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
puerros,img_267,61,14,4,1.5,0.3,0.04,1.8,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
calabaza,img_268,35,3.4,3.2,1.1,0.25,0.15,2.9,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
apio,img_269,18,3.1,1.7,0.5,0,0,2,0,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
huevos de gallina,img_270,150,0.5,0.5,12.5,11.1,3.1,0,0,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,false,false,false,false
huevos de codorniz,img_271,154,0.4,0.4,13.1,11.1,3.5,0,0,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,false,false,false,false
clara de huevo liquida pasteurizada,img_272,50,0.5,0,11,0.1,0,0,0,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,false,false,false,false
leche de vaca entera,img_273,63,4.6,4.6,3.1,3.6,2.4,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
leche de vacasemidesnatada,img_274,45,4.6,4.6,3.15,1.5,1,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
leche de vaca desnatada,img_275,34,4.8,4.8,3.4,0.1,0,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
leche de vaca entera sin lactosa,img_276,62,4.5,4.5,3,3.6,2.4,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
leche protehinica desnatada,img_277,86,12,12,8.4,0.4,0.2,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false
bebida de avena,img_278,46,8.1,5.4,1.4,0.8,0.3,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
horchata de chufa,img_279,84,14,13,0.6,2.5,0.7,0.4,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
bebida de soja,img_280,32,0.9,0.9,31,1.7,0.3,0.4,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
bebida de almendras,img_281,36,3.7,3.5,0.7,2,0.5,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
bebida de arroz,img_282,38,6.4,4.7,0.4,1.2,0.3,0.1,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
bebida de coco,img_283,50,9,6.3,0.1,1.6,1.3,0.1,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
bebida de avellanas,img_284,36,3.4,3.2,0.6,2.1,0.2,0.4,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false
hamburguesas vegetales berenjenas,img_285,246,10,0.9,12,16,1.8,3.6,0,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false
seitan,img_286,121,3.5,0,24,1.5,0.2,0.4,0,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false
carnita vegetal,img_287,190,1,0.1,12,15,5.5,0.5,0,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false
humus,img_288,301,8.7,0.5,6.4,25,3.3,0,0,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false
postre lacteo proteico estilo yogur,img_289,293,4,4,35,1.5,1,1,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false
pudding proteico,img_290,372,6,4,68,3.8,2.3,2,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false
kefir,img_291,74,5,23,4,4,3,0,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false
gelatina 0% azucar,img_292,1,0,0,0.4,0,0,0,0.6,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
cuajada,img_293,88,6.6,6.4,4.25,4.77,2.86,0,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,true,false,false,false
postre  de soja,img_294,43,0,0,4.6,2.7,0.4,0.3,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false
kefir 0% materia grasa,img_295,36,4.8,2.4,4,0.5,0.1,0,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,true,false,false,false
